Date,Open,High,Low,Close,Adj Close,Volume
7/8/2015,108.379997,109.110001,107.690002,108.07,104.405678,871600
7/9/2015,109.330002,110,107.940002,108.379997,104.705154,929800
7/10/2015,109.440002,110.800003,108.709999,110.480003,106.733971,797400
7/13/2015,111.480003,111.699997,110.720001,111.18,107.410233,633100
7/14/2015,111.32,112.480003,110.940002,112.099998,108.299019,483000
7/15/2015,112.050003,112.400002,111.529999,112.330002,108.52124,756200
7/16/2015,112.989998,113.330002,112.699997,112.75,108.926994,853000
7/17/2015,112.720001,112.970001,112.080002,112.739998,108.91732,536200
7/20/2015,112.870003,113.540001,112.379997,112.900002,109.071899,641400
7/21/2015,113.099998,113.870003,112.040001,112.309998,108.5019,880500
7/22/2015,111.900002,112.870003,111.730003,112.370003,108.559883,726700
7/23/2015,112.459999,112.739998,111.230003,111.760002,107.970566,869100
7/24/2015,111.269997,113.440002,111.019997,111.82,108.028526,994400
7/27/2015,111.559998,111.919998,109.830002,110.32,106.579384,1394200
7/28/2015,111.059998,111.059998,109.360001,109.75,106.028709,653900
7/29/2015,109.93,110.5,109.379997,110.330002,106.58905,669100
7/30/2015,110.209999,111.760002,109.730003,111.529999,107.748367,643500
7/31/2015,111.779999,111.93,110.32,110.43,106.685661,729400
8/3/2015,110.660004,110.660004,109.339996,110.620003,106.869202,837800
8/4/2015,110.400002,111.760002,110.400002,111.190002,107.419884,544700
8/5/2015,111.800003,112.580002,111.339996,111.800003,108.009209,732500
8/6/2015,111.870003,111.870003,110.139999,110.309998,106.569725,573000
8/7/2015,110.309998,110.339996,109.279999,109.809998,106.086685,509100
8/10/2015,110.660004,111.739998,110.540001,111.669998,107.883606,630000
8/11/2015,110.830002,111.440002,110.209999,110.540001,106.791924,510200
8/12/2015,109.610001,110.050003,108.010002,109.43,105.719566,881400
8/13/2015,109.660004,110.610001,109.239998,110.18,106.44413,711500
8/14/2015,110.059998,111.5,110.059998,110.809998,107.052773,802200
8/17/2015,110.110001,111.349998,109.529999,111.279999,107.506844,475500
8/18/2015,110.970001,111.690002,110.760002,110.980003,107.545601,397200
8/19/2015,110.760002,111.480003,109.839996,110.599998,107.177353,619300
8/20/2015,109.529999,109.779999,107.540001,107.57,104.241127,788900
8/21/2015,107,107.559998,103.580002,103.629997,100.42305,1258600
8/24/2015,98.330002,103,96,99.470001,96.391785,1831400
8/25/2015,102.199997,104.900002,98.82,98.940002,95.878181,1809600
8/26/2015,100.839996,102.769997,98.839996,102.519997,99.347397,1256800
8/27/2015,103.550003,104.860001,102.760002,104.57,101.333969,1264100
8/28/2015,104.57,104.730003,103.449997,104.389999,101.159538,871400
8/31/2015,103.830002,104.379997,102.260002,102.309998,99.143898,839000
9/1/2015,99.910004,101.059998,98.410004,98.989998,95.926643,1264200
9/2/2015,99.949997,101.18,98.440002,100.559998,97.448051,1084400
9/3/2015,100.839996,102.339996,100.610001,100.940002,97.816299,1020900
9/4/2015,99.589996,101.059998,98.550003,99.199997,96.130135,923300
9/8/2015,101.099998,101.589996,100.010002,101.410004,98.271759,1139400
9/9/2015,102.529999,102.970001,99.93,100.169998,97.070122,676500
9/10/2015,99.860001,101.489998,99.860001,100.82,97.70002,1076800
9/11/2015,100.330002,101.830002,100,101.559998,98.417107,693200
9/14/2015,101.57,101.980003,100.699997,100.919998,97.796913,828500
9/15/2015,101.230003,102.730003,100.989998,102.43,99.260185,795800
9/16/2015,102.43,103.239998,102.160004,102.900002,99.715637,801700
9/17/2015,103.07,103.910004,102,102.309998,99.143898,873100
9/18/2015,99.839996,102.230003,99.839996,100.75,97.632179,1817600
9/21/2015,101.519997,102.639999,100.980003,101.779999,98.63031,599900
9/22/2015,100.410004,101.050003,99.889999,100.629997,97.515884,632600
9/23/2015,100.5,101.559998,99.550003,101.120003,97.99073,492600
9/24/2015,100.099998,100.379997,98.709999,99.940002,96.847244,1112700
9/25/2015,101,101.279999,99.68,100.419998,97.312386,661500
9/28/2015,99.610001,100.040001,96.860001,96.889999,93.891632,2040900
9/29/2015,97.279999,97.75,96.849998,97.529999,94.511826,993300
9/30/2015,98.5,99.010002,96.949997,98.199997,95.161079,1370700
10/1/2015,98.040001,98.760002,96.230003,97.489998,94.473061,1458000
10/2/2015,95.889999,99.190002,95.639999,99.050003,95.984787,1401100
10/5/2015,100.370003,101.959999,99.82,101.080002,97.951965,1368100
10/6/2015,100.610001,101.080002,99.029999,99.099998,96.033234,875700
10/7/2015,99.639999,100.129997,98.190002,99.440002,96.362717,1112600
10/8/2015,99.220001,99.599998,98.07,98.379997,95.335518,1922800
10/9/2015,98.419998,99.379997,98.400002,98.879997,95.820038,896200
10/12/2015,98.910004,99.459999,98.669998,99.040001,95.975098,292500
10/13/2015,98.760002,99.279999,97.980003,98.089996,95.054489,666500
10/14/2015,97.849998,99.139999,97.129997,97.629997,94.608734,782000
10/15/2015,98.589996,100.050003,97.650002,100.040001,96.944138,699900
10/16/2015,100.540001,101,100.010002,100.580002,97.467438,768100
10/19/2015,100.040001,100.589996,99.290001,99.910004,96.818169,807400
10/20/2015,99.650002,100.43,99.639999,100.150002,97.050751,484300
10/21/2015,100.449997,100.459999,97.690002,97.730003,94.705643,656600
10/22/2015,98.089996,99.57,98.07,99.019997,95.955711,799600
